uf,cod_municipio_ibge,cod_municipio_tse,nome_municipio_ibge,nome_municipio_tse
AM,1300839,02992,Caapiranga,CAAPIRANGA
AM,1300904,02194,Canutama,CANUTAMA
AM,1301001,02216,Carauari,CARAUARI
AM,1301100,02232,Careiro,CAREIRO
AM,1301159,02046,Careiro da Várzea,CAREIRO DA VÁRZEA
AM,1301209,02259,Coari,COARI
AM,1301308,02275,Codajás,CODAJÁS
AM,1301407,02291,Eirunepé,EIRUNEPÉ
AM,1301506,02313,Envira,ENVIRA
AM,1301605,02330,Fonte Boa,FONTE BOA
AM,1301654,02020,Guajará,GUAJARÁ
AM,1301704,02356,Humaitá,HUMAITÁ
AM,1301803,02399,Ipixuna,IPIXUNA
AM,1301852,98353,Iranduba,IRANDUBA
AM,1301902,02410,Itacoatiara,ITACOATIARA
AM,1301951,98370,Itamarati,ITAMARATI
AM,1302009,02437,Itapiranga,ITAPIRANGA
AM,1302108,02453,Japurá,JAPURÁ
AM,1302207,02470,Juruá,JURUÁ
AM,1302306,02496,Jutaí,JUTAÍ
AM,1302405,02518,Lábrea,LÁBREA
AM,1302504,02534,Manacapuru,MANACAPURU
AM,1302553,98396,Manaquiri,MANAQUIRI
AM,1302603,02550,Manaus,MANAUS
AM,1302702,02577,Manicoré,MANICORÉ
AM,1302801,02593,Maraã,MARAÃ
AM,1302900,02615,Maués,MAUÉS
AM,1303007,02631,Nhamundá,NHAMUNDÁ
AM,1303106,02658,Nova Olinda do Norte,NOVA OLINDA DO NORTE
AM,1303205,02011,Novo Airão,NOVO AIRÃO
AM,1303304,02674,Novo Aripuanã,NOVO ARIPUANÃ
AM,1303403,02690,Parintins,PARINTINS
AM,1303502,02712,Pauini,PAUINI
AM,1303536,98418,Presidente Figueiredo,PRESIDENTE FIGUEIREDO
AM,1303569,98434,Rio Preto da Eva,RIO PRETO DA EVA
AM,1303601,02372,Santa Isabel do Rio Negro,SANTA ISABEL DO RIO NEGRO
AM,1303700,02739,Santo Antônio do Içá,SANTO ANTÔNIO DO IÇÁ
AM,1303809,02836,São Gabriel da Cachoeira,SÃO GABRIEL DA CACHOEIRA
AM,1303908,02755,São Paulo de Olivença,SÃO PAULO DE OLIVENÇA
AM,1303957,98450,São Sebastião do Uatumã,SÃO SEBASTIÃO DO UATUMÃ
AM,1304005,02771,Silves,SILVES
AM,1304062,98477,Tabatinga,TABATINGA
AM,1304104,02798,Tapauá,TAPAUÁ
AM,1304203,02810,Tefé,TEFÉ
AM,1304237,98515,Tonantins,TONANTINS
AM,1304260,98493,Uarini,UARINI
AM,1304302,02852,Urucará,URUCARÁ
AM,1304401,02879,Urucurituba,URUCURITUBA
RR,1400027,03042,Amajari,AMAJARI
RR,1400050,03050,Alto Alegre,ALTO ALEGRE
RR,1400100,03018,Boa Vista,BOA VISTA
RR,1400159,03077,Bonfim,BONFIM
RR,1400175,03069,Cantá,CANTÁ
RR,1400209,03034,Caracaraí,CARACARAÍ
RR,1400233,03000,Caroebe,CAROEBE
RR,1400282,03026,Iracema,IRACEMA
RR,1400308,03093,Mucajaí,MUCAJAÍ
RR,1400407,03115,Normandia,NORMANDIA
RR,1400456,03123,Pacaraima,PACARAIMA
RR,1400472,03085,Rorainópolis,RORAINÓPOLIS
RR,1400506,03131,São João da Baliza,SÃO JOÃO DA BALIZA
RR,1400605,03158,São Luiz,SÃO LUIZ
RR,1400704,03107,Uiramutã,UIRAMUTÃ
PA,1500107,04014,Abaetetuba,ABAETETUBA
PA,1500131,04502,Abel Figueiredo,ABEL FIGUEIREDO
PA,1500206,04030,Acará,ACARÁ
PA,1500305,04057,Afuá,AFUÁ
PA,1500347,04260,Água Azul do Norte,ÁGUA AZUL DO NORTE
PA,1500404,04073,Alenquer,ALENQUER
PA,1500503,04090,Almeirim,ALMEIRIM
PA,1500602,04111,Altamira,ALTAMIRA
PA,1500701,04138,Anajás,ANAJÁS
PA,1500800,04154,Ananindeua,ANANINDEUA
PA,1500859,04723,Anapu,ANAPU
PA,1500909,04170,Augusto Corrêa,AUGUSTO CORRÊA
PA,1500958,04340,Aurora do Pará,AURORA DO PARÁ
PA,1501006,04197,Aveiro,AVEIRO
PA,1501105,04219,Bagre,BAGRE
PA,1501204,04235,Baião,BAIÃO
PA,1501253,04588,Bannach,BANNACH
PA,1501303,04251,Barcarena,BARCARENA
PA,1501402,04278,Belém,BELÉM
PA,1501451,04804,Belterra,BELTERRA
PA,1501501,04294,Benevides,BENEVIDES
PA,1501576,04049,Bom Jesus do Tocantins,BOM JESUS DO TOCANTINS
PA,1501600,04316,Bonito,BONITO
PA,1501709,04332,Bragança,BRAGANÇA
PA,1501725,04227,Brasil Novo,BRASIL NOVO
PA,1501758,05932,Brejo Grande do Araguaia,BREJO GRANDE DO ARAGUAIA
PA,1501782,04448,Breu Branco,BREU BRANCO
PA,1501808,04359,Breves,BREVES
PA,1501907,04375,Bujaru,BUJARU
PA,1501956,04766,Cachoeira do Piriá,CACHOEIRA DO PIRIÁ
PA,1502004,04391,Cachoeira do Arari,CACHOEIRA DO ARARI
PA,1502103,04413,Cametá,CAMETÁ
PA,1502152,04707,Canaã dos Carajás,CANAÃ DOS CARAJÁS
PA,1502202,04430,Capanema,CAPANEMA
PA,1502301,04456,Capitão Poço,CAPITÃO POÇO
PA,1502400,04472,Castanhal,CASTANHAL
PA,1502509,04499,Chaves,CHAVES
PA,1502608,04510,Colares,COLARES
PA,1502707,04537,Conceição do Araguaia,CONCEIÇÃO DO ARAGUAIA
PA,1502756,05819,Concórdia do Pará,CONCÓRDIA DO PARÁ
PA,1502764,04529,Cumaru do Norte,CUMARU DO NORTE
PA,1502772,05851,Curionópolis,CURIONÓPOLIS
PA,1502806,04553,Curralinho,CURRALINHO
PA,1502855,04740,Curuá,CURUÁ
PA,1502905,04570,Curuçá,CURUÇÁ
PA,1502939,05975,Dom Eliseu,DOM ELISEU
PA,1502954,04120,Eldorado do Carajás,ELDORADO DOS CARAJÁS
PA,1503002,04596,Faro,FARO
PA,1503044,04561,Floresta do Araguaia,FLORESTA DO ARAGUAIA
PA,1503077,05878,Garrafão do Norte,GARRAFÃO DO NORTE
PA,1503093,04006,Goianésia do Pará,GOIANÉSIA DO PARÁ
PA,1503101,04618,Gurupá,GURUPÁ
PA,1503200,04634,Igarapé-Açu,IGARAPÉ-AÇU
PA,1503309,04650,Igarapé-Miri,IGARAPÉ-MIRI
PA,1503408,04677,Inhangapi,INHANGAPI
PA,1503457,04189,Ipixuna do Pará,IPIXUNA DO PARÁ
PA,1503507,04693,Irituia,IRITUIA
PA,1503606,04715,Itaituba,ITAITUBA
PA,1503705,04731,Itupiranga,ITUPIRANGA
PA,1503754,04200,Jacareacanga,JACAREACANGA
PA,1503804,04758,Jacundá,JACUNDÁ
PA,1503903,04774,Juruti,JURUTI
PA,1504000,04790,Limoeiro do Ajuru,LIMOEIRO DO AJURU
PA,1504059,04103,Mãe do Rio,MÃE DO RIO
PA,1504109,04812,Magalhães Barata,MAGALHÃES BARATA
PA,1504208,04839,Marabá,MARABÁ
PA,1504307,04855,Maracanã,MARACANÃ
PA,1504406,04871,Marapanim,MARAPANIM
PA,1504422,04642,Marituba,MARITUBA
PA,1504455,05770,Medicilândia,MEDICILÂNDIA
PA,1504505,04898,Melgaço,MELGAÇO
PA,1504604,04910,Mocajuba,MOCAJUBA
PA,1504703,04936,Moju,MOJU
PA,1504752,04863,Mojuí dos Campos,MOJUÍ DOS CAMPOS
PA,1504802,04952,Monte Alegre,MONTE ALEGRE
PA,1504901,04979,Muaná,MUANÁ
PA,1504950,04480,Nova Esperança do Piriá,NOVA ESPERANÇA DO PIRIÁ
PA,1504976,04600,Nova Ipixuna,NOVA IPIXUNA
PA,1505007,04995,Nova Timboteua,NOVA TIMBOTEUA
PA,1505031,04383,Novo Progresso,NOVO PROGRESSO
PA,1505064,04421,Novo Repartimento,NOVO REPARTIMENTO
PA,1505106,05010,Óbidos,ÓBIDOS
PA,1505205,05037,Oeiras do Pará,OEIRAS DO PARÁ
PA,1505304,05053,Oriximiná,ORIXIMINÁ
PA,1505403,05070,Ourém,OURÉM
PA,1505437,05959,Ourilândia do Norte,OURILÂNDIA DO NORTE
PA,1505486,05916,Pacajá,PACAJÁ
PA,1505494,04162,Palestina do Pará,PALESTINA DO PARÁ
PA,1505502,05096,Paragominas,PARAGOMINAS
PA,1505536,05835,Parauapebas,PARAUAPEBAS
PA,1505551,04308,Pau D'Arco,PAU D'ARCO
PA,1505601,05118,Peixe-Boi,PEIXE-BOI
PA,1505635,04782,Piçarra,PIÇARRA
PA,1505650,04626,Placas,PLACAS
PA,1505700,05134,Ponta de Pedras,PONTA DE PEDRAS
PA,1505809,05150,Portel,PORTEL
PA,1505908,05177,Porto de Moz,PORTO DE MOZ
PA,1506005,05193,Prainha,PRAINHA
PA,1506104,05215,Primavera,PRIMAVERA
PA,1506112,04685,Quatipuru,QUATIPURU
PA,1506138,05673,Redenção,REDENÇÃO
PA,1506161,05690,Rio Maria,RIO MARIA
PA,1506187,05738,Rondon do Pará,RONDON DO PARÁ
PA,1506195,05894,Rurópolis,RURÓPOLIS
PA,1506203,05231,Salinópolis,SALINÓPOLIS
PA,1506302,05258,Salvaterra,SALVATERRA
PA,1506351,04243,Santa Bárbara do Pará,SANTA BÁRBARA DO PARÁ
PA,1506401,05274,Santa Cruz do Arari,SANTA CRUZ DO ARARI
PA,1506500,05290,Santa Izabel do Pará,SANTA ISABEL DO PARÁ
PA,1506559,04146,Santa Luzia do Pará,SANTA LUZIA DO PARÁ
PA,1506583,05991,Santa Maria das Barreiras,SANTA MARIA DAS BARREIRAS
PA,1506609,05312,Santa Maria do Pará,SANTA MARIA DO PARÁ
PA,1506708,05339,Santana do Araguaia,SANTANA DO ARAGUAIA
PA,1506807,05355,Santarém,SANTARÉM
PA,1506906,05371,Santarém Novo,SANTARÉM NOVO
PA,1507003,05398,Santo Antônio do Tauá,SANTO ANTÔNIO DO TAUÁ
PA,1507102,05410,São Caetano de Odivelas,SÃO CAETANO DE ODIVELAS
PA,1507151,04464,São Domingos do Araguaia,SÃO DOMINGOS DO ARAGUAIA
PA,1507201,05436,São Domingos do Capim,SÃO DOMINGOS DO CAPIM
PA,1507300,05452,São Félix do Xingu,SÃO FÉLIX DO XINGU
PA,1507409,05479,São Francisco do Pará,SÃO FRANCISCO DO PARÁ
PA,1507458,05797,São Geraldo do Araguaia,SÃO GERALDO DO ARAGUAIA
PA,1507466,04820,São João da Ponta,SÃO JOÃO DA PONTA
PA,1507474,04065,São João de Pirabas,SÃO JOÃO DE PIRABAS
PA,1507508,05495,São João do Araguaia,SÃO JOÃO DO ARAGUAIA
PA,1507607,05517,São Miguel do Guamá,SÃO MIGUEL DO GUAMÁ
PA,1507706,05533,São Sebastião da Boa Vista,SÃO SEBASTIÃO DA BOA VISTA
PA,1507755,04847,Sapucaia,SAPUCAIA
PA,1507805,05550,Senador José Porfírio,SENADOR JOSÉ PORFÍRIO
PA,1507904,05576,Soure,SOURE
PA,1507953,04022,Tailândia,TAILÂNDIA
PA,1507961,04545,Terra Alta,TERRA ALTA
PA,1507979,04367,Terra Santa,TERRA SANTA
PA,1508001,05592,Tomé-Açu,TOMÉ-AÇU
PA,1508035,04669,Tracuateua,TRACUATEUA
PA,1508050,04286,Trairão,TRAIRÃO
PA,1508084,04081,Tucumã,TUCUMÃ
PA,1508100,05614,Tucuruí,TUCURUÍ
PA,1508126,04324,Ulianópolis,ULIANÓPOLIS
PA,1508159,05754,Uruará,URUARÁ
PA,1508209,05630,Vigia,VIGIA
PA,1508308,05657,Viseu,VISEU
PA,1508357,04405,Vitória do Xingu,VITÓRIA DO XINGU
PA,1508407,05711,Xinguara,XINGUARA
AP,1600055,06106,Serra do Navio,SERRA DO NAVIO
AP,1600105,06017,Amapá,AMAPÁ
AP,1600154,06084,Pedra Branca do Amapari,ÁGUA BRANCA DO AMAPARI
AP,1600204,06033,Calçoene,CALÇOENE
AP,1600212,06068,Cutias,CUTIAS
AP,1600238,06114,Ferreira Gomes,FERREIRA GOMES
AP,1600253,06041,Itaubal,ITAUBAL
AP,1600279,06130,Laranjal do Jari,LARANJAL DO JARI
AP,1600303,06050,Macapá,MACAPÁ
AP,1600402,06076,Mazagão,MAZAGÃO
AP,1600501,06092,Oiapoque,OIAPOQUE
AP,1600535,06025,Porto Grande,PORTO GRANDE
AP,1600550,06009,Pracuúba,PRACUÚBA
AP,1600600,06157,Santana,SANTANA
AP,1600709,06173,Tartarugalzinho,TARTARUGALZINHO
AP,1600808,06122,Vitória do Jari,VITÓRIA DO JARI
TO,1700251,73008,Abreulândia,ABREULÂNDIA
TO,1700301,73512,Aguiarnópolis,AGUIARNÓPOLIS
TO,1700350,96954,Aliança do Tocantins,ALIANÇA DO TOCANTINS
TO,1700400,92070,Almas,ALMAS
TO,1700707,92134,Alvorada,ALVORADA
TO,1701002,92193,Ananás,ANANÁS
TO,1701051,73075,Angico,ANGICO
TO,1701101,96970,Aparecida do Rio Negro,APARECIDA DO RIO NEGRO
TO,1701309,73334,Aragominas,ARAGOMINAS
TO,1701903,92371,Araguacema,ARAGUACEMA
TO,1702000,92398,Araguaçu,ARAGUAÇU
TO,1702109,92410,Araguaína,ARAGUAÍNA
TO,1702158,73318,Araguanã,ARAGUANÃ
TO,1702208,92436,Araguatins,ARAGUATINS
TO,1702307,92452,Arapoema,ARAPOEMA
TO,1702406,92479,Arraias,ARRAIAS
TO,1702554,96857,Augustinópolis,AUGUSTINÓPOLIS
TO,1702703,92533,Aurora do Tocantins,AURORA DO TOCANTINS
TO,1702901,92576,Axixá do Tocantins,AXIXÁ DO TOCANTINS
TO,1703008,92592,Babaçulândia,BABAÇULÂNDIA
TO,1703057,73580,Bandeirantes do Tocantins,BANDEIRANTES DO TOCANTINS
TO,1703073,73610,Barra do Ouro,BARRA DO OURO
TO,1703107,96997,Barrolândia,BARROLÂNDIA
TO,1703206,92002,Bernardo Sayão,BERNARDO SAYÃO
TO,1703305,73121,Bom Jesus do Tocantins,BOM JESUS DO TOCANTINS
TO,1703602,73245,Brasilândia do Tocantins,BRASILÂNDIA DO TOCANTINS
TO,1703701,92738,Brejinho de Nazaré,BREJINHO DE NAZARÉ
TO,1703800,92045,Buriti do Tocantins,BURITI DO TOCANTINS
TO,1703826,73067,Cachoeirinha,CACHOEIRINHA
TO,1703842,73091,Campos Lindos,CAMPOS LINDOS
TO,1703867,73300,Cariri do Tocantins,CARIRI DO TOCANTINS
TO,1703883,73326,Carmolândia,CARMOLÂNDIA
TO,1703891,73423,Carrasco Bonito,CARRASCO BONITO
TO,1703909,92088,Caseara,CASEARA
TO,1704105,73210,Centenário,CENTENÁRIO
TO,1704600,73474,Chapada de Areia,CHAPADA DE AREIA
TO,1705102,73482,Chapada da Natividade,CHAPADA DA NATIVIDADE
TO,1705508,93114,Colinas do Tocantins,COLINAS DO TOCANTINS
TO,1705557,92142,Combinado,COMBINADO
TO,1705607,93130,Conceição do Tocantins,CONCEIÇÃO DO TOCANTINS
TO,1706001,93211,Couto Magalhães,COUTO DE MAGALHÃES
TO,1706100,93238,Cristalândia,CRISTALÂNDIA
TO,1706258,73555,Crixás do Tocantins,CRIXÁS DO TOCANTINS
TO,1706506,73032,Darcinópolis,DARCINÓPOLIS
TO,1707009,93416,Dianópolis,DIANÓPOLIS
TO,1707108,92185,Divinópolis do Tocantins,DIVINÓPOLIS DO TOCANTINS
TO,1707207,93459,Dois Irmãos do Tocantins,DOIS IRMÃOS DO TOCANTINS
TO,1707306,93475,Dueré,DUERÉ
TO,1707405,73296,Esperantina,ESPERANTINA
TO,1707553,96830,Fátima,FÁTIMA
TO,1707652,96679,Figueirópolis,FIGUEIRÓPOLIS
TO,1707702,93556,Filadélfia,FILADÉLFIA
TO,1708205,93653,Formoso do Araguaia,FORMOSO DO ARAGUAIA
TO,1708254,73199,Fortaleza do Tabocão,FORTALEZA DO TABOCÃO
TO,1708304,92240,Goianorte,GOIANORTE
TO,1709005,95338,Goiatins,GOIATINS
TO,1709302,96270,Guaraí,GUARAÍ
TO,1709500,93858,Gurupi,GURUPI
TO,1709807,73598,Ipueiras,IPUEIRAS
TO,1710508,94056,Itacajá,ITACAJÁ
TO,1710706,94099,Itaguatins,ITAGUATINS
TO,1710904,73202,Itapiratins,ITAPIRATINS
TO,1711100,94170,Itaporã do Tocantins,ITAPORÃ DO TOCANTINS
TO,1711506,73369,Jaú do Tocantins,JAÚ DO TOCANTINS
TO,1711803,73253,Juarina,JUARINA
TO,1711902,73385,Lagoa da Confusão,LAGOA DA CONFUSÃO
TO,1711951,73113,Lagoa do Tocantins,LAGOA DO TOCANTINS
TO,1712009,73407,Lajeado,LAJEADO
TO,1712157,73601,Lavandeira,LAVANDEIRA
TO,1712405,95699,Lizarda,LIZARDA
TO,1712454,73520,Luzinópolis,LUZINÓPOLIS
TO,1712504,92304,Marianópolis do Tocantins,MARIANÓPOLIS DO TOCANTINS
TO,1712702,73270,Mateiros,MATEIROS
TO,1712801,73059,Maurilândia do Tocantins,MAURILÂNDIA DO TOCANTINS
TO,1713205,94617,Miracema do Tocantins,MIRACEMA DO TOCANTINS
TO,1713304,94633,Miranorte,MIRANORTE
TO,1713601,94692,Monte do Carmo,MONTE DO CARMO
TO,1713700,73563,Monte Santo do Tocantins,MONTE SANTO DO TOCANTINS
TO,1713809,73040,Palmeiras do Tocantins,PALMEIRAS DO TOCANTINS
TO,1713957,73342,Muricilândia,MURICILÂNDIA
TO,1714203,94811,Natividade,NATIVIDADE
TO,1714302,94838,Nazaré,NAZARÉ
TO,1714880,96636,Nova Olinda,NOVA OLINDA
TO,1715002,92401,Nova Rosalândia,NOVA ROSALÂNDIA
TO,1715101,94994,Novo Acordo,NOVO ACORDO
TO,1715150,73148,Novo Alegre,NOVO ALEGRE
TO,1715259,73172,Novo Jardim,NOVO JARDIM
TO,1715507,73466,Oliveira de Fátima,OLIVEIRA DE FÁTIMA
TO,1715705,73083,Palmeirante,PALMEIRANTE
TO,1715754,96490,Palmeirópolis,PALMEIRÓPOLIS
TO,1716109,95192,Paraíso do Tocantins,PARAÍSO DO TOCANTINS
TO,1716208,95214,Paranã,PARANÃ
TO,1716307,73261,Pau D'Arco,PAU D'ARCO
TO,1716505,95257,Pedro Afonso,PEDRO AFONSO
TO,1716604,95273,Peixe,PEIXE
TO,1716653,92487,Pequizeiro,PEQUIZEIRO
TO,1716703,95290,Colméia,COLMÉIA
TO,1717008,95370,Pindorama do Tocantins,PINDORAMA DO TOCANTINS
TO,1717206,73016,Piraquê,PIRAQUÊ
TO,1717503,95478,Pium,PIUM
TO,1717800,95516,Ponte Alta do Bom Jesus,PONTE ALTA DO BOM JESUS
TO,1717909,95532,Ponte Alta do Tocantins,PONTE ALTA DO TOCANTINS
TO,1718006,92509,Porto Alegre do Tocantins,PORTO ALEGRE DO TOCANTINS
TO,1718204,95591,Porto Nacional,PORTO NACIONAL
TO,1718303,92525,Praia Norte,PRAIA NORTE
TO,1718402,96296,Presidente Kennedy,PRESIDENTE KENNEDY
TO,1718451,73571,Pugmil,PUGMIL
TO,1718501,73229,Recursolândia,RECURSOLÂNDIA
TO,1718550,73024,Riachinho,RIACHINHO
TO,1718659,73431,Rio da Conceição,RIO DA CONCEIÇÃO
TO,1718709,73415,Rio dos Bois,RIO DOS BOIS
TO,1718758,96792,Rio Sono,RIO SONO
TO,1718808,92541,Sampaio,SAMPAIO
TO,1718840,73156,Sandolândia,SANDOLÂNDIA
TO,1718865,73350,Santa Fé do Araguaia,SANTA FÉ DO ARAGUAIA
TO,1718881,73130,Santa Maria do Tocantins,SANTA MARIA DO TOCANTINS
TO,1718899,73547,Santa Rita do Tocantins,SANTA RITA DO TOCANTINS
TO,1718907,92584,Santa Rosa do Tocantins,SANTA ROSA DO TOCANTINS
TO,1719004,92606,Santa Tereza do Tocantins,SANTA TEREZA DO TOCANTINS
TO,1720002,73539,Santa Terezinha do Tocantins,SANTA TEREZINHA DO TOCANTINS
TO,1720101,73288,São Bento do Tocantins,SÃO BENTO DO TOCANTINS
TO,1720150,73105,São Félix do Tocantins,SÃO FÉLIX DO TOCANTINS
TO,1720200,73180,São Miguel do Tocantins,SÃO MIGUEL DO TOCANTINS
TO,1720259,73393,São Salvador do Tocantins,SÃO SALVADOR DO TOCANTINS
TO,1720309,96032,São Sebastião do Tocantins,SÃO SEBASTIÃO DO TOCANTINS
TO,1720499,92681,São Valério,SÃO VALÉRIO DA NATIVIDADE
TO,1720655,96598,Silvanópolis,SILVANÓPOLIS
TO,1720804,96130,Sítio Novo do Tocantins,SÍTIO NOVO DO TOCANTINS
TO,1720853,73377,Sucupira,SUCUPIRA
TO,1720903,96156,Taguatinga,TAGUATINGA
TO,1720937,73164,Taipas do Tocantins,TAIPAS DO TOCANTINS
TO,1720978,73504,Talismã,TALISMÃ
TO,1721000,73440,Palmas,PALMAS
TO,1721109,96199,Tocantínia,TOCANTÍNIA
TO,1721208,96210,Tocantinópolis,TOCANTINÓPOLIS
TO,1721257,73458,Tupirama,TUPIRAMA
TO,1721307,73237,Tupiratins,TUPIRATINS
TO,1722081,96652,Wanderlândia,WANDERLÂNDIA
TO,1722107,96431,Xambioá,XAMBIOÁ
MA,2100055,09610,Açailândia,AÇAILÂNDIA
MA,2100105,07013,Afonso Cunha,AFONSO CUNHA
MA,2100154,07005,Água Doce do Maranhão,ÁGUA DOCE DO MARANHÃO
MA,2100204,07030,Alcântara,ALCÂNTARA
MA,2100303,07056,Aldeias Altas,ALDEIAS ALTAS
MA,2100402,07072,Altamira do Maranhão,ALTAMIRA DO MARANHÃO
MA,2100436,07021,Alto Alegre do Maranhão,ALTO ALEGRE DO MARANHÃO
MA,2100477,07048,Alto Alegre do Pindaré,ALTO ALEGRE DO PINDARÉ
MA,2100501,07099,Alto Parnaíba,ALTO PARNAÍBA
MA,2100550,07080,Amapá do Maranhão,AMAPÁ DO MARANHÃO
MA,2100600,07110,Amarante do Maranhão,AMARANTE DO MARANHÃO
MA,2100709,07137,Anajatuba,ANAJATUBA
MA,2100808,07153,Anapurus,ANAPURUS
MA,2100832,07064,Apicum-Açu,APICUM-AÇU
MA,2100873,07102,Araguanã,ARAGUANÃ
MA,2100907,07170,Araioses,ARAIOSES
MA,2100956,09679,Arame,ARAME
MA,2101004,07196,Arari,ARARI
MA,2101103,07218,Axixá,AXIXÁ
MA,2101202,07234,Bacabal,BACABAL
